,basin_id,discharge_coverage,unique_discharge_count
805,04147500,1.0,1210
806,04148140,1.0,1329
807,04148500,1.0,1126
808,04149000,1.0,4338
809,04150000,0.0,1
810,04150500,1.0,4337
811,04150800,0.0,1
812,04151500,1.0,1462
813,04152238,0.8371959760601044,937
814,04152500,1.0,2082
815,04153500,0.0363555329173564,414
816,04154000,1.0,837
817,04155000,1.0,179
818,04155500,1.0,1012
819,04156000,1.0,1228
820,04158500,0.0,1
821,04159492,1.0,1511
822,04159500,0.0,1
823,04159900,0.8198140837896345,1598
824,04160600,1.0,1300
825,04160800,0.0,1
826,04160900,0.0,1
827,04161000,1.0,1042
828,04161100,0.0,1
829,04161500,0.7965108875588947,1
830,04161540,1.0,976
831,04161580,1.0,655
832,04161800,1.0,568
833,04161820,1.0,963
834,04162900,0.0,1
835,04163400,1.0,1394
836,04164000,1.0,1005
837,04164100,1.0,1166
838,04164300,1.0,1215
839,04164500,1.0,1509
840,04165500,1.0,1103
841,04166000,1.0,1052
842,04166100,1.0,1088
843,04166300,1.0,1043
844,04166500,1.0,1302
845,04167000,0.912835858907424,1175
846,04168000,1.0,865
847,04168580,0.4768241436393735,1238
848,04170000,1.0,1912
849,04170500,1.0,550
850,04172000,1.0,828
851,04173500,1.0,1114
852,04174500,1.0,1024
853,04174518,0.5524003565516363,1196
854,04175600,1.0,1128
855,04176000,0.8895326626766841,1136
856,04176500,1.0,1256
857,04176605,0.8198140837896345,232
858,04177000,1.0,1705
859,04177720,1.0,1627
860,04178000,1.0,1522
861,04179000,0.0,1
862,04179520,0.4949064051954667,1606
863,04180000,1.0,1469
864,04180500,0.912835858907424,1288
865,04180988,0.401184260792054,1635
866,04181500,1.0,1758
867,04182000,1.0,1747
868,04182950,0.4436521074748504,1502
869,04183000,1.0,1518
870,04183500,1.0,2483
871,04184500,1.0,1466
872,04185000,1.0,1616
873,04185440,0.8662931363810009,874
874,04186500,1.0,1830
875,04187500,0.0,1
876,04188337,0.3547052082006876,1933
877,04188400,0.3547052082006876,1831
878,04188433,0.3547052082006876,1400
879,04188496,0.3547052082006876,1732
880,04189000,1.0,1635
881,04192500,1.0,1678
882,04193500,1.0,1683
883,04195500,1.0,1703
884,04195820,0.5678721507704062,1735
885,04196000,1.0,1770
886,04196500,1.0,1714
887,04196800,1.0,2039
888,04197000,0.0,1
889,04197100,1.0,1925
890,04197170,0.9206035909843372,1516
891,04198000,1.0,1758
892,04199000,1.0,1627
893,04199155,0.8198140837896345,1470
894,04199500,1.0,1812
895,04200500,1.0,1791
896,04201500,1.0,1586
897,04202000,1.0,1167
898,04206000,1.0,1120
899,04206043,0.5175092321405832,954
900,04206212,0.7267923086718452,911
901,04206220,0.7267923086718452,923
902,04207200,1.0,1330
903,04208000,1.0,1161
904,04208460,0.4980899019483,1306
905,04208504,0.7267923086718452,1099
906,04209000,1.0,1417
907,04212100,1.0,1682
908,04212500,0.0,1
909,04213000,1.0,1667
910,04213040,0.0,1
911,04213075,0.851967400993251,1152
912,04213500,1.0,1212
913,04214500,1.0,1993
914,04215000,1.0,1720
915,04215500,1.0,1494
916,04216200,0.0,1
917,04216418,1.0,1396
918,04216500,0.0,1
919,04217000,1.0,1584
920,04217500,0.0,1
921,04218000,1.0,1589
922,04218518,1.0,1272
923,04220250,0.4328282185152171,1
924,0422026250,0.7732713612632115,1033
925,04221000,1.0,1487
926,04223000,1.0,1348
927,04224775,1.0,1333
928,04227000,1.0,1447
929,04227500,1.0,1359
930,04227995,0.6232013243346491,1101
931,04228500,1.0,1348
932,04229500,1.0,1727
933,04230380,1.0,1534
934,04230500,1.0,1361
935,04231000,1.0,1623
936,04231600,1.0,1417
937,04232000,0.0,1
938,04232034,0.7329682923723417,2394
939,04232050,1.0,1167
940,0423205010,0.9786705717560168,1037
941,04232100,0.9243601171526804,3009
942,04232482,1.0,1254
943,04233000,1.0,497
944,04233286,0.4681650324716668,1478
945,04233300,0.646886540175729,1402
