basin_id,mean_discharge,median_discharge,discharge_coverage,area,mean_discharge_area_ratio,median_discharge_area_ratio
02CE002,18.106382925766912,11.3,1.0,1336.4958231110234,0.013547653956463436,0.008454945989802247
02CE003,,,0.0,11617.667720963847,,
02CE004,82.85803637786034,66.8,0.3181507062410553,6837.775295748229,0.01211768927671285,0.009769259314727212
02CE007,0.5608418641037104,0.275,0.2783896459461141,39.337675501083474,0.014257117558668741,0.006990753685799908
02CE103,,,0.0,44.72373128263504,,
02CF001,,,0.0,3805.416636462612,,
02CF002,,,0.0,4226.619962624317,,
02CF004,42.86394227005871,26.1,0.31796403459647815,4328.959269334433,0.009901673728764127,0.0060291627562513
02CF005,1.7080510480054092,0.85,0.8282620869889864,91.9822755699144,0.01856934977333915,0.009240910759529179
02CF007,3.0421170120092094,1.52,1.0,273.4025636194081,0.011126878152627745,0.005559567473975578
02CF008,2.075208885570282,1.06,1.0,188.43474186897964,0.011012878331179466,0.005625289633357672
02CF009,0.26427283743475016,0.1,0.3337689005040134,21.15632118630773,0.012491436252432502,0.004726719693815177
02CF010,13.022640657084189,7.6,1.0,1641.546194005205,0.00793315515861925,0.004629781377919543
02CF011,7.669602308172178,4.730069252077563,0.9974488208574451,685.8534431198188,0.011182567332875946,0.006896618074207462
02CF012,3.7722792607802873,2.73,1.0,210.4408303972033,0.017925605281352376,0.012972767665130258
02CF013,0.5128981659612671,0.356,0.970319208512227,30.95966876823017,0.01656665547040952,0.01149883103288611
02CF014,6.696774714688009,3.88,0.4198245286540974,539.9698712328507,0.01240212662124655,0.007185586097871064
02CF100,,,0.0,634.3371362789964,,
02CG001,,,0.0,219.551822180502,,
02CG003,0.6021527550657662,0.48,0.8751788936593865,13.53244405624304,0.04449696984248531,0.035470311054310796
02CG004,0.552749245472837,0.12,0.1237010764731504,65.0556678610663,0.008496557850321286,0.0018445741000810798
02DA001,,,0.0,2541.160889820017,,
02DB001,,,0.0,2647.364506550017,,
02DB002,,,0.0,3249.1930277588026,,
02DB003,,,0.0,2883.489137470225,,
02DB004,,,0.0,79.69671993194052,,
02DB005,37.04817186236077,37.1,1.0,3139.986130932667,0.011798832962155914,0.011815338811378834
02DB006,34.97715909090909,29.25,0.01642710472279261,2647.6679304955646,0.013210553592482577,0.011047457901763863
02DB007,1.3658864472539969,0.704,0.9301848049281314,80.10778296604764,0.017050608526176604,0.008788159825848367
02DB008,39.46787214611872,34.6,0.06813515027067389,3549.885210717689,0.011118069966588977,0.0097467940359133
02DC001,,,0.0,6674.61660733494,,
02DC002,,,0.0,6674.726085719608,,
02DC003,80.69235852500913,65.3,0.3408624229979466,6674.711723248026,0.012089264955662067,0.009783194047551154
02DC004,38.536400847299234,25.3,0.9987555223694854,3006.634830315271,0.012817120475937003,0.008414723246370123
02DC005,,,0.0,2476.609687369787,,
02DC006,,,0.0,543.239516349432,,
02DC007,18.593834725274725,15.0,0.28311866094206956,1379.2271506587592,0.013481343313459111,0.010875655973590399
02DC008,29.434187978346092,26.3,0.3333333333333333,2284.4592589599997,0.012884531804583816,0.011512571255909846
02DC009,,,0.0,302.154441046324,,
02DC011,23.890350877192983,15.25,0.07802874743326489,1821.5047273718792,0.013115722686958209,0.008372198968708224
