basin_id,NSE
02GC007,-1.9468698853282826
02GC008,-1.9507499058096842
02GC009,
02GC010,-0.4172304469422754
02GC011,-0.31535019897363537
02GC012,
02GC013,
02GC014,
02GC015,
02GC016,
02GC017,-0.19107913872989712
02GC018,-0.17085961933472427
02GC021,-3.137900228619662
02GC022,-0.5064456633379804
02GC023,
02GC024,
02GC025,
02GC026,-0.6592667610693865
02GC029,-0.1142802259418021
02GC030,-0.13296990987513224
02GC031,-0.057827040734156565
02GC033,
02GC034,
02GC035,
02GC036,0.05690710589331982
02GC037,-1.3350286170961372
02GC038,0.026377343931792918
02GD001,-0.5754768488643776
02GD003,-0.3806821896183603
02GD004,-0.31173331804720994
02GD005,-0.2645558426938368
02GD006,
02GD007,
02GD008,-0.23937588052608527
02GD009,-0.9455544709655774
02GD010,-0.18101973253505754
02GD011,-0.21695298865332857
02GD012,
02GD013,
02GD014,-0.18515448158332437
02GD015,-0.26200616135150945
02GD016,-0.6813648682157438
02GD018,-0.22027934109744196
02GD019,0.06801648489009948
02GD020,
02GD021,-0.15171396300606022
02GD022,-0.09598485175855043
02GD023,
02GD025,
02GD026,-0.004304300088612267
02GD027,-0.25006262261101786
02GD028,0.08756005981612536
02GE001,
02GE002,-0.5319454273727482
02GE003,-0.6253517571504361
02GE005,-0.23996423334296058
02GE006,-0.6185282580544011
02GE007,-0.1322849604536096
02GE008,-0.09503533461020885
02GE009,0.05300282061702788
02GG002,-0.3210589448699659
02GG003,-0.39783486103919397
02GG004,
02GG005,-0.28595878390505236
02GG006,-0.1763345723810752
02GG007,
02GG009,-0.2564184423504494
02GG013,-0.14692394402125308
02GH001,
02GH002,-0.05091489681663197
02GH003,-0.14497196382454502
02GH004,
02GH011,-0.06306789480986663
02GH016,-0.0773542630022015
02HA006,-0.2170184888488469
02HA007,-0.1779185080842567
02HA014,0.03929888945911808
02HA020,-0.13822438241441515
02HA022,
02HA023,
02HA024,
02HA026,
02HA027,
02HA028,
02HA029,
02HA030,-1.7323405306224293
02HA031,0.054548055864047096
02HA032,0.02971530591106175
02HB001,-1.4761083670995006
02HB002,
02HB004,-0.1996074213934822
02HB005,-0.42997754815871403
02HB006,
02HB007,-0.6187057527116457
02HB008,-0.5393819240658528
02HB010,
02HB011,-0.9811887430701374
02HB012,-0.016324644262529553
02HB013,-0.03977929832565552
02HB015,0.1294417379142606
02HB016,
02HB018,-1.606059759345642
02HB019,
02HB020,-0.044018875302196614
02HB021,-57.355676424777876
02HB022,-0.5876293291404946
02HB023,-0.428207914439626
02HB024,-2.3499514119424565
02HB025,-1.226371564553919
02HB026,
02HB027,-0.06015018104409564
02HB028,-0.16782831892693584
02HB029,-1.0661210244399464
02HB030,-0.15307106735325893
02HB031,-101.85425862776948
02HB032,0.04331543414116901
02HB033,0.08937992941201045
02HB034,-0.02125450469634771
02HC002,
02HC003,-0.5216283128568884
02HC004,
02HC005,-0.2765882564790665
02HC006,
02HC007,
02HC008,
02HC009,-0.3672411062496803
02HC010,
02HC011,
02HC012,
02HC013,-0.16453993914165177
02HC014,
02HC015,
02HC017,0.016127061242007135
02HC018,-0.1806181496436241
02HC019,-0.31379890807034183
02HC022,-0.4261569778922427
02HC023,0.039072710746017925
02HC024,-0.7542001662391271
02HC025,-1.0606576165732435
02HC026,
