basin_id,discharge_coverage
04108801,1.0
04109000,1.0
04111000,1.0
04111379,1.0
04111500,1.0
04112000,1.0
04112500,1.0
04113000,1.0
04114000,1.0
04114498,1.0
04114500,1.0
04115000,1.0
04115265,0.8198140837896345
04116000,1.0
04116500,1.0
04117000,0.6570100598497389
04117500,1.0
04118000,1.0
04118500,1.0
04119000,1.0
04121300,1.0
04121500,1.0
04121900,1.0
04121944,0.6337705335540558
04121970,0.6337705335540558
04122000,1.0
04122100,1.0
04122200,1.0
04122500,1.0
04123500,0.05233668661657965
04124000,1.0
04124200,0.6065834712848593
04124500,0.7267923086718452
04125460,1.0
04125500,1.0
04125550,0.6104673373233159
04126000,1.0
04126740,0.7620017827581815
04126970,0.5885648796638228
04127000,1.0
04127800,1.0
04127918,1.0
04127997,1.0
04128000,1.0
04128990,1.0
04129000,1.0
04129500,1.0
04130000,1.0
04130500,1.0
04133500,1.0
04133501,1.0
04134000,1.0
04135500,1.0
04135600,1.0
04135700,1.0
04136000,0.6337705335540558
04136500,1.0
04136900,0.6104673373233159
04137005,0.6104673373233159
04137500,0.8236979498280912
04138500,1.0
04140500,1.0
04142000,1.0
04143500,1.0
04143900,1.0
04144000,1.0
04145000,1.0
04146000,1.0
04146063,0.9961798038966
04147500,1.0
04148140,1.0
04148500,1.0
04149000,1.0
04150000,1.0
04150500,1.0
04150800,1.0
04151500,1.0
04152238,0.8371959760601044
04152500,1.0
04153500,0.03635553291735642
04154000,1.0
04155000,1.0
04155500,1.0
04156000,1.0
04158500,1.0
04159492,1.0
04159500,1.0
04159900,0.8198140837896345
04160600,1.0
04160800,1.0
04160900,1.0
04161000,1.0
04161100,1.0
04161500,0.7965108875588947
04161540,1.0
04161580,1.0
04161800,1.0
04161820,1.0
04162900,1.0
04163400,1.0
04164000,1.0
04164100,1.0
04164300,1.0
04164500,1.0
04165500,1.0
04166000,1.0
04166100,1.0
04166300,1.0
04166500,1.0
04167000,0.9128358589074239
04168000,1.0
04168580,0.4768241436393735
04170000,1.0
04170500,1.0
04172000,1.0
04173500,1.0
04174500,1.0
04174518,0.5524003565516363
04175600,1.0
04176000,0.8895326626766841
04176500,1.0
04176605,0.8198140837896345
04177000,1.0
04177720,1.0
04178000,1.0
04179000,1.0
04179520,0.4949064051954667
04180000,1.0
04180500,0.9128358589074239
04180988,0.401184260792054
04181500,1.0
04182000,1.0
04182950,0.4436521074748504
04183000,1.0
04183500,1.0
04184500,1.0
04185000,1.0
04185440,0.8662931363810009
04186500,1.0
04187500,1.0
04188337,0.3547052082006876
04188400,0.3547052082006876
04188433,0.3547052082006876
04188496,0.3547052082006876
04189000,1.0
04192500,1.0
04193500,1.0
04195500,1.0
04195820,0.5678721507704062
04196000,1.0
04196500,1.0
04196800,1.0
04197000,1.0
04197100,1.0
04197170,0.9206035909843372
04198000,1.0
04199000,1.0
04199155,0.8198140837896345
04199500,1.0
04200500,1.0
04201500,1.0
04202000,1.0
04206000,1.0
04206043,0.5175092321405832
04206212,0.7267923086718452
04206220,0.7267923086718452
04207200,1.0
04208000,1.0
04208460,0.4980899019483
04208504,0.7267923086718452
04209000,1.0
04212100,1.0
04212500,1.0
04213000,1.0
04213040,1.0
04213075,0.851967400993251
04213500,1.0
04214500,1.0
04215000,1.0
04215500,1.0
04216200,1.0
04216418,1.0
04216500,1.0
04217000,1.0
04217500,1.0
04218000,1.0
04218518,1.0
04220250,0.43282821851521713
0422026250,0.7732713612632115
04221000,1.0
04223000,1.0
04224775,1.0
04227000,1.0
04227500,1.0
04227995,0.6232013243346491
04228500,1.0
04229500,1.0
04230380,1.0
04230500,1.0
04231000,1.0
04231600,1.0
04232000,1.0
04232034,0.7329682923723417
04232050,1.0
0423205010,0.9786705717560168
04232100,0.9243601171526805
04232482,1.0
04233000,1.0
04233286,0.46816503247166685
04233300,0.646886540175729
04234000,1.0
0423401815,0.3824652998853941
04235250,1.0
04235500,1.0
04237500,1.0
04237962,0.49420603590984336
04239000,1.0
04240010,1.0
04240100,0.9476633133834204
04240120,0.9476633133834204
04240180,1.0
04240200,1.0
04240300,1.0
04240503,0.15376289316184896
04242500,1.0
04243500,1.0
04245000,1.0
04245200,1.0
04246500,1.0
04247000,0.6072838405704826
04249000,1.0
04250200,0.701260664714122
04250750,1.0
04252500,1.0
04256000,1.0
04257000,1.0
04258000,1.0
04260500,1.0
04263000,1.0
05535070,1.0
